Postcode,Suburb,Activity,YearsTrading,Aboriginal_TorresStrait,FullTime_Employees,PartTime_Employees,Casual_Employees,Impact_WFH,ComparisonTo_PreCovid,Forecast_12Months,HaveYouReduced_opening_hours,HaveYouReduced_employee_numbers,HaveYou_PermanentClosure_ShiftT,HaveYou_PermanentClosure_Shif_1,BusinessCapacity_FullOperationa,BusinessCapacity_IncreasedCapac,BusinessCapacity_other,EmployeeLocation,EmployeeLocationOther,DigitalServices_WebsiteChanges,DigitalServices_ECommerce_Onlin,DigitalServices_NewServices_Tel,DigitalServices_SocialMedia_Cam,DigitalServices_other,SupportRequired_NotSeeking,SupportRequired_FreeSkills_and_,SupportRequired_Communication_o,SupportRequired_Advocacy_forBus,SupportRequired_PrecinctMarketi,SupportRequired_PrecinctEvents_,SupportRequired_Education_on_Go,SupportRequired_waiving_Outdoor,SupportRequired_Government_Fees,SupportRequired_waiving_Governm,SupportRequired_business_suppor,SupportRequired_less_red_tape_a,SupportRequired_statutory_assis,SupportRequired_finding_employe,SupportRequired_other,AreasToStrengthen_12_18Months_s,AreasToStrengthen_12_18Months_1,AreasToStrengthen_12_18Months_c,AreasToStrengthen_12_18Months_2,AreasToStrengthen_12_18Months_a,AreasToStrengthen_12_18Months_e,AreasToStrengthen_12_18Months_d,AreasToStrengthen_12_18Months_m,AreasToStrengthen_12_18Months_p,AreasToStrengthen_12_18Months_3,AreasToStrengthen_12_18Months_4,AreasToStrengthen_12_18Months_5,AreasToStrengthen_12_18Months_b,AreasToStrengthen_12_18Months_6,AreasToStrengthen_12_18Months_r,AreasToStrengthen_12_18Months_o,PreferredFormat_BusinessEducati,PreferredFormat_BusinessEduca_1,FinancialComparison_to12Months_,FinancialComparisonForecast12Mo,AustralianEconomyForecast_12Mon,YourSustainabilityPractices_rec,YourSustainabilityPractices_gre,YourSustainabilityPractices_wat,YourSustainabilityPractices_Foo,YourSustainabilityPractices_net,YourSustainabilityPractices_non,YourSustainabilityPractices_tel,StrategiesToSupport_DiversityIn,StrategiesToSupport_Diversity_1,StrategiesToSupport_Diversity_2,StrategiesToSupport_Diversity_3,StrategiesToSupport_Diversity_4,StrategiesToSupport_Diversity_5,StrategiesToSupport_Diversity_6,StrategiesToSupport_Diversity_7,StrategiesToSupport_Aboriginal_,StrategiesToSupport_Aboriginal1,StrategiesToSupport_Aborigina_1,ContinuityPlan_Manage_FutureRis,industry_code,industry_description_cbi_sector,cbi_industry_sector,cbi_sub_sector,ObjectId
2000,Sydney,Banking,> 10,No,200,,,"Loss of efficiency, multiple cultures emerging",Remained the same,Remain the same,Yes,,,,,,,Split between locations (hybrid),,No change,No change,Improved/expanded,Improved/expanded,,,,,,,Yes,,,,,,Yes,,Yes,,,Yes,Yes,Yes,,,,,,,,,,,,,In-person events,,Better off,Better off,Worse off,Yes,,,,,,,Yes,Yes,Yes,,,,,,,No,,Yes,6221,Banking,Finance and Financial Services,Finance Banking,51
2000,Sydney,Law Firm,> 10,No,12,2,0,Positive impact for employees. Some decline in productivity during lockdowns when 100% working from home. Productivity has bounced back with hibrid arrangements.,Decreased,Remain the same,,,,,Yes,,,Split between locations (hybrid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6931,Legal Services,Professional and Business Services,PBS - Legal Services,52
2000,Sydney,Law Firm,> 10,No,5,4,3,Ensuring we have the technology for working from home and communicating with clients electronically. Clients capacities to pay fees.,Remained the same,Remain the same,,,,,Yes,,,Split between locations (hybrid),,No change,No change,Improved/expanded,No change,,,,,Yes,,,,,,,,,Yes,,,,,,Yes,,,Yes,,Yes,,,,Yes,,,,In-person events,,Better off,Better off,Worse off,Yes,,,,,,Toner recycling,,,Yes,,,,,,,No,,Don't know,6931,Legal Services,Professional and Business Services,PBS - Legal Services,53
2000,Sydney,Law Firm,> 10,No,20,1,0,Greater work life balance flexibility,Increased,Increase,,,,,Yes,,,Business premises,,Improved/expanded,No change,Improved/expanded,Improved/expanded,,,Yes,Yes,,,,,,,,Yes,,,,,,Yes,,,,,,,,,,,,,Yes,,In-person events,,Better off,Better off,Worse off,Yes,,,,,,,,Yes,Yes,,,,,Am against the woke left definition of inclusion and diversity. Diversity of thought first and foremost not based on race,,No,,Yes,6931,Legal Services,Professional and Business Services,PBS - Legal Services,54
2000,Haymarket,Lawyer,6 to 10,No,1,,1,The social community has become lost and the govt had failed to protect us whilst ensuring businesses can adapt,Significantly decreased (more than 50% decline),Remain the same,Yes,Yes,,,,,,Fully remote,,No change,No change,Improved/expanded,No change,,,,,,,,,,Yes,,Yes,,,,,,,,Yes,Yes,,,,,Yes,,,,,,,Online webinars or live streaming,,Worse off,Worse off,Worse off,Yes,Yes,Yes,Yes,Yes,,,,Yes,,,,,,,Yes,,We provide free legal assistance for people that dont qualify for ALS to ensure they can continue on a good path without losing what they already have gained,No,6931,Legal Services,Professional and Business Services,PBS - Legal Services,55
2000,Sydney,Retail Hotel and Residential Property Development,> 10,No,24,2,,Restaurants have less customers resulted less rental income generated from restaurants.,Remained the same,Remain the same,,Yes,,,,,,Business premises,,No change,No change,Temporary,Temporary,,,,Yes,,Yes,Yes,,,Yes,,Yes,,,,,Yes,Yes,,,,,Yes,Yes,,,Yes,,Yes,,,,In-person events,,Better off,Better off,Worse off,,,,,,Yes,,,Yes,,Yes,,,,,,No,,Yes,3020,Non-Residential Building Construction,Property Development and Operation,General Construction,56
2000,Haymarket,Lawyer,> 10,No,1,1,,Very positive for my business.  Less traffic when I need to travel.  They obviously damaged the food sector though.,Remained the same,Remain the same,,,,,Yes,,,Split between locations (hybrid),,New,No change,No change,No change,,,,,,,,,,Yes,,,Yes,,,,,,,,,,,Yes,,,,,,,,,"Digital resources (checklist, guidelines, toolkits)",,Better off,Better off,Worse off,Yes,,,,,,Attempting to reduce emissions by travelling less where possible.  Not always supported by government though.,,,,,,,Yes,,,No,,Don't know,6931,Legal Services,Professional and Business Services,PBS - Legal Services,57
2000,The Rocks,Licensed Club,> 10,No,15,5,25,Decreased functions and general business turnover on a weekly basis,Decreased,Remain the same,,Yes,,,,,,Business premises,,No change,No change,No change,No change,,,Yes,Yes,Yes,Yes,Yes,,,Yes,,Yes,Yes,,Yes,,Yes,Yes,,,,,Yes,,Yes,Yes,,,,,,,1:1 mentoring,,Worse off,Worse off,Worse off,Yes,,Yes,,,,,Yes,Yes,,,,,,,,No,,No,4530,Clubs (Hospitality),"Tourist, Cultural and Leisure",Pubs & Clubs,58
2009,Pyrmont,Limousines Transfers,> 10,No,12,6,48,NO IMPACTS,Decreased,Increase,,Yes,,,,,,Business premises,,No change,No change,Improved/expanded,No change,,,,,,Yes,Yes,,,Yes,,Yes,,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,In-person events,,Better off,Better off,Better off,,,,,,Yes,,,,Yes,,,,,,,No,,Yes,4623,Taxi and Other Road Transport,Transport and Logistics,Road Transport,59
2009,Pyrmont,Limousines Transfers,> 10,No,12,6,48,NO STAFF WORK AT HOME,Decreased,Increase,,Yes,,,Yes,,,Business premises,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4623,Taxi and Other Road Transport,Transport and Logistics,Road Transport,60
2000,Millers Point,Local Charity,< 1,No,0,0,0,No known impact although many locals left Australia during lockdown and many have yet to return,Remained the same,Remain the same,,,,,,,Accessible by members 24/7,Other (please describe),Volunteers work at premises,No change,No change,No change,No change,,,,,,,Yes,,,,,,,,,Grant support,,,,,,,,,,Yes,,,,,,,In-person events,,Better off,Better off,Worse off,Yes,Yes,,Yes,,,Recycling centre and library of things,,,,,,,,All eligible membership applications are accepted,,No,,No,9559A,Registered Charities,Social Capital,Interest Groups,61
2011,Potts Point,Local Concierge,1 to 5,No,,,6,Less revenue.,Increased,Increase > 50%,,,,,,Yes,,Split between locations (hybrid),,Improved/expanded,No change,Improved/expanded,Improved/expanded,,,,,Yes,,,,,,,,Yes,,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,,,,,,,In-person events,,Better off,Better off,Worse off,Yes,,,,,,,,Yes,Yes,,,,,,,No,,Don't know,9539,Other Personal Services n.e.c.,Social Capital,Personal Services,62
2000,Sydney,Locksmith,> 10,No,5,,,no  work,Decreased,Decrease,,Yes,,,,,,Split between locations (hybrid),,Improved/expanded,Temporary,Improved/expanded,Improved/expanded,,,,,,Yes,,,,,,Yes,,,Yes,,,,Yes,,,,,Yes,Yes,,,,,,,,In-person events,,Worse off,Worse off,Worse off,Yes,,,,,,,Yes,,,,,,,,,No,,No,7712A,Locksmith,Retail and Personal Services,Repair,63
2000,Sydney,Cafe Bar Restaurant,> 10,No,9,10,8,"As we are located just by Barangaroo, our corporate clients are 100% of our customers, so when they don't come in, we don't have any passing traffic. We operate MOnday - Friday & with people choosing wehen they come in it is near impossible to know when we will be busy or quiet- therefore forecasting for food & labor is just as hard. We need a regular work week to be enforced to come back !!",Significantly decreased (more than 50% decline),Don't know,Yes,Yes,,,,,Reduced menu & food offering.,Other (please describe),"On site- we are food sevice venues, Hospitality cant work from home.",No change,,Temporary,,"No point, as we need the walk in traffic.",,,Yes,,Yes,,,,,,,,Yes,Yes,Ecourage people to return to office work to support the small traders,,,Yes,,,,,,Yes,,,,Yes,,,,In-person events,,Better off,Better off,Better off,Yes,,,,,,,,,Yes,,,Yes,,We support diversity by treating everyone the same! We accept diversity by not treat them differntly- Isnt that the point !!!,Yes,No,We support diversity by treating everyone the same! We accept diversity by not treat them differntly- Isnt that the point !!!,Don't know,4511A,Cafes,Food and Drink,Food and Drink Cafes and Restaurants,64
2009,Pyrmont,Luxury Transport,> 10,No,25,10,10,Little impact as most come into work,Increased,Increase,,Yes,,,,,,Split between locations (hybrid),,Improved/expanded,Improved/expanded,No change,No change,,,,Yes,Yes,,,,,,,,,,Yes,,Yes,,,Yes,,,,,,,,,,,,,In-person events,,Better off,Better off,Worse off,Yes,,Yes,,Yes,,,,Yes,,,,,,,,No,,Yes,4623,Taxi and Other Road Transport,Transport and Logistics,Road Transport,65
2038,Annandale,Cafe,1 to 5,No,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4511A,Cafes,Food and Drink,Food and Drink Cafes and Restaurants,66
2008,Chippendale,Making Art,> 10,No,1,,,Huge loss of income from exhibitions being cancelled.,Remained the same,Increase,,,,,Yes,,,Other (please describe),Home,Improved/expanded,Improved/expanded,No change,Improved/expanded,,,,,,,,,,,,Yes,,,,,Yes,Yes,,,,,Yes,Yes,Yes,,,,,,,,In-person events,,Better off,Better off,Better off,Yes,,,,,,,,,,,,,Yes,,,No,,Yes,9002,"Creative Artists, Musicians, Writers and Performers",Creative Industries,Creative Culture,67
2016,Redfern,Cafe,> 10,No,2,,2,Major impact.,Decreased,Remain the same,,Yes,,,,,,Business premises,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4511A,Cafes,Food and Drink,Food and Drink Cafes and Restaurants,68
2061,,Managed IT Support,6 to 10,No,5,1,,We support many businesses to facilitate the technology behind the remote workforce. People appreciate the support.,Remained the same,Increase,,,,,Yes,,,Business premises,,Improved/expanded,No change,No change,Improved/expanded,,,,Yes,,,,,,,,,,,Yes,,,,Yes,,,,Yes,,Yes,,,,,,,,1:1 mentoring,,Better off,Better off,Better off,Yes,,,,,,,,,,,,,Yes,,,No,,Yes,7000,Computer System Design and Related Services,ICT,ICT - Services,69
2000,Sydney,Managed IT Support,> 10,No,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000,Computer System Design and Related Services,ICT,ICT - Services,70
2038,Annandale,Restaurant Bar,1 to 5,No,4,,4,The scare tactic from the government regarding rates etc from economy has reduced people spending. People are wary of a recession.,Decreased,Remain the same,Yes,Yes,,,,,,Business premises,,No change,No change,No change,Improved/expanded,,,Yes,Yes,Yes,Yes,Yes,,,,,Yes,Yes,,Yes,,Yes,Yes,Yes,,,,Yes,Yes,Yes,,,,Yes,,,,In-person events,,Worse off,Worse off,Worse off,Yes,,,,,,,Yes,Yes,,,,,,,,No,,Yes,4511B,Restaurants,Food and Drink,Food and Drink Cafes and Restaurants,71
2010,Surry Hills,Management and Information Technology Consulting,6 to 10,No,28,8,1,"Overall our staff have enjoyed working from home, however they did miss the chance to be face-to-face in lockdown. We currently operate a hybrid working policy.  Economically, we have experience growth during covid.",Increased,Remain the same,,,,,,,"In lockdown we closed premises and moved to WFH. Howver, we have just reopened a new office and now operate hybrid working between office and home.",Split between locations (hybrid),,No change,No change,Improved/expanded,No change,,,,,,Yes,Yes,Yes,,,,,,,Yes,,Yes,Yes,Yes,,,,Yes,,Yes,Yes,,,Yes,Yes,Yes,,Online webinars or live streaming,,Better off,Worse off,Worse off,Yes,Yes,,,,,,Yes,Yes,Yes,,,,,,,No,,No,6962,Management Advice and Related Consulting Services,Professional and Business Services,PBS - Business Services,72
2000,Sydney,Management Consulting,1 to 5,No,2,2,2,Massive impact on business    Economically my industry has been decimated,Significantly increased (more than 50% increase),Increase,Yes,Yes,,,,,,Split between locations (hybrid),,Improved/expanded,No change,Improved/expanded,Improved/expanded,,Yes,,,,,,,,,,,,,,,,Yes,,,,,,,Yes,,,,,,,,In-person events,,Worse off,Better off,Worse off,Yes,,,,,,,Yes,,,,,,,,Yes,,,Yes,6962,Management Advice and Related Consulting Services,Professional and Business Services,PBS - Business Services,73
2000,Haymarket,Restaurant also Being an Architect,1 to 5,No,2,15,5,Big impact at yhe beginning. Start getting better now,Increased,Increase,,,,,Yes,,,Business premises,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4511B,Restaurants,Food and Drink,Food and Drink Cafes and Restaurants,74
2011,Rushcutters Bay,Management Consulting,1 to 5,No,2,2,,Wry difficult to cluster teams and build culture. The economy is less of an issue for my business,Significantly decreased (more than 50% decline),Decrease > 50%,,Yes,,,Yes,,,Fully remote,,New,No change,Temporary,No change,,Yes,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,In-person events,,Worse off,Better off,Better off,,,,,,Yes,,,,,,,,Yes,,,No,,No,6962,Management Advice and Related Consulting Services,Professional and Business Services,PBS - Business Services,75
2015,Alexandria,Manufacturing,> 10,No,0,0,0,got busier,Remained the same,Remain the same,,,,,Yes,,,Other (please describe),dont have any,No change,No change,No change,No change,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nothing,Other (please describe),na,Worse off,Worse off,Worse off,Yes,,,,,,,,,,,,,Yes,,,No,,No,2599,Other Manufacturing n.e.c.,Manufacturing,Other Manufacturing,76
2015,Alexandria,Marble Slabs Wholesaler,1 to 5,No,3,,,Minimal,Increased,Remain the same,,,,,Yes,,,Business premises,,No change,,,No change,,Yes,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,In-person events,,Better off,Better off,Worse off,,,,,,,,,,,,,,,,,,,,3739,Other Goods Wholesaling n.e.c.,Transport and Logistics,Personal and Household Good Wholesaling,77
2010,Surry Hills,Market Research,> 10,No,15,2,40,Less opportunity for strategy development,Remained the same,Increase,,,,,Yes,,,Business premises,,Improved/expanded,No change,No change,Improved/expanded,,,Yes,,,,,,,,,Yes,,,Yes,,Yes,Yes,Yes,,,,,,,,,,Yes,,,,Online webinars or live streaming,,Better off,Better off,Better off,Yes,,,,,,,,,Yes,,,,,,,No,,Yes,6950,Market Research and Statistical Services,Professional and Business Services,PBS - Business Services,78
2011,Elizabeth Bay,Marketing,> 10,No,1,1,2,minimal,Remained the same,Remain the same,,,Yes,,,,,Fully remote,,Improved/expanded,,New,No change,,,,Yes,,Yes,Yes,,,,,,Yes,,,,Yes,Yes,,,,,Yes,,,,,,,,,,Online webinars or live streaming,,Better off,Better off,Better off,Yes,,,Yes,,,,,Yes,,,,,,,,No,,Don't know,7299B,Marketing,Professional and Business Services,PBS - Business Services,79
2016,Redfern,Marketing,1 to 5,No,2,,,Reduction in efficiency,Increased,Increase,,,,,,Yes,,Split between locations (hybrid),,New,No change,New,Improved/expanded,,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,,,Yes,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,Online webinars or live streaming,,Worse off,Better off,Better off,Yes,Yes,,,,,,,Yes,Yes,,,,,,,No,,No,7299B,Marketing,Professional and Business Services,PBS - Business Services,80
2000,Sydney,Marketing and Consulting,> 10,No,1,1,,Reduced number of people in the CBD means less income of all the small to medium size businesses in the city. We need Sydney to be a vibrant and global city!,Remained the same,Remain the same,,,,,,Yes,,Business premises,,No change,No change,No change,Improved/expanded,,,,Yes,,Yes,Yes,,,Yes,,Yes,Yes,,,,Yes,,,Yes,,,,Yes,,,Yes,Yes,Yes,,,,In-person events,,Worse off,Better off,Better off,Yes,,,,,,,Yes,Yes,Yes,,,,,,,No,,Yes,7299B,Marketing,Professional and Business Services,PBS - Business Services,81
2016,Redfern,Marketing Consultancy,1 to 5,No,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7299B,Marketing,Professional and Business Services,PBS - Business Services,82
2000,Sydney,Marketing Consultants,> 10,No,20,3,,More efficient but detrimental to teamwork and collaboration,Increased,Remain the same,Yes,Yes,,,,,,Split between locations (hybrid),,Improved/expanded,No change,Improved/expanded,No change,,,,,,,,,,,,,Yes,,Yes,,Yes,,,,,,,Yes,,,,Yes,,,,,In-person events,,Better off,Worse off,Worse off,Yes,,Yes,,,,,,Yes,Yes,,,,,,,No,,Yes,7299B,Marketing,Professional and Business Services,PBS - Business Services,83
2015,Alexandria,Cafe,> 10,No,10,0,4,Less demand,Decreased,Increase,Yes,,,,,,,Business premises,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4511A,Cafes,Food and Drink,Food and Drink Cafes and Restaurants,84
2010,Darlinghurst,Medical,> 10,No,1,,3,Nil,Decreased,Increase,,,,,Yes,,,Business premises,,,,New,,,,,,,,,,,,,,Yes,,Yes,,,,,,,,,,,Yes,,,Yes,,,,Online webinars or live streaming,,Worse off,Better off,Worse off,Yes,,,,,,,,Yes,Yes,,,,,,Yes,,,No,8511,General Practice Medical Services,Health,Health - Medical and Dental Services,85
2000,Sydney,Medical Practice,> 10,No,2,,,city has been deserted -  cafe's closed,Remained the same,Remain the same,,,,,Yes,,,Business premises,,No change,No change,New,No change,,,,,,,Yes,,,Yes,,,Yes,,,,,,,,,,,,,,,,Yes,,,,In-person events,,Worse off,Better off,Better off,,,,,,Yes,,,,Yes,,,,,,,No,,Don't know,8511,General Practice Medical Services,Health,Health - Medical and Dental Services,86
2000,Haymarket,Small Bar,1 to 5,No,3,6,,"Less busy, especially on key nights like Friday nights.",Remained the same,Remain the same,,Yes,,,Yes,,,Business premises,,No change,No change,No change,No change,,,,,Yes,,,,,,,,Yes,,Yes,,Yes,Yes,,,,,Yes,,Yes,Yes,,,,,,,Other (please describe),Mix of above,Worse off,Better off,Better off,Yes,,,,,,,Yes,,,,,,,,,No,,No,4520A,Small Bar,"Tourist, Cultural and Leisure",Pubs & Clubs,87
2016,Redfern,Medical Practice,> 10,No,1,4,,We are able to offer telehealth consultations,Remained the same,Remain the same,,,,,Yes,,,Business premises,,No change,No change,Improved/expanded,,,,,,,,,,,,,,,,,Council to assits for Doctors to park at the rear our surgery in our garage.The area has NO Parking Signs anr our Rool a door indicates that the practice needs access 24 hours perday.CouncilPatrolling takes too long and police are busy.we request the council to act on it as soon as possible,,,Yes,,,,,Yes,,,,,,,,,"Digital resources (checklist, guidelines, toolkits)",,Better off,Worse off,Worse off,Yes,,,,,,,Yes,Yes,,,,,,,Yes,,Employment oppurtuinity,Yes,8511,General Practice Medical Services,Health,Health - Medical and Dental Services,88
2000,Sydney,Medical Retail,> 10,No,5,,,cannot work from home,Remained the same,Remain the same,,,,,Yes,,,Business premises,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8511,General Practice Medical Services,Health,Health - Medical and Dental Services,89
2000,Sydney,Cafe,6 to 10,No,2,0,5,"We are dead Monday and Fridays! We operate at around 50-55% on Monday and Friday. Tuesday, Wednesday, Thursday we sit at around 75%. It's very worrying.",Decreased,Remain the same,Yes,Yes,,,,,,Business premises,,No change,No change,No change,No change,,,,,,,,,,Yes,,Yes,Yes,Yes,,Reduced Cost like outdoor seating costs needs to be continued into the future!,,Yes,Yes,,,,,,Yes,,,,Yes,,,,1:1 mentoring,,Worse off,Worse off,Worse off,Yes,,,Yes,,,,,,,,,Yes,,,,No,,No,4511A,Cafes,Food and Drink,Food and Drink Cafes and Restaurants,90
2037,Glebe,Meditation Programmes,> 10,No,,3,2,It forced us to close our 8 year old Yoga & Meditation studio on Broadway due to lack of students and their unwillingness to return to face to face classes,Decreased,Remain the same,,Yes,Yes,Yes,,,,Split between locations (hybrid),,Improved/expanded,Temporary,Improved/expanded,Improved/expanded,,,,Yes,Yes,Yes,Yes,,,,,,,,,,Yes,Yes,Yes,,,,,,Yes,,,,,,,,In-person events,,Better off,Better off,Better off,Yes,,,Yes,,,,Yes,Yes,,,,,,,,No,,No,9539,Other Personal Services n.e.c.,Social Capital,Personal Services,91
2010,Surry Hills,Member Organisation,> 10,No,12,,,Little impact,Remained the same,Increase,,,,,Yes,,,Business premises,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9551,Business and Professional Association Services,Professional and Business Services,PBS - Interest Groups,92
2000,Sydney,Accountancy and Advisory,> 10,No,500,40,,"Lack of face to face contact and no separation from home has caused burnout with some.  Staff shortages with lack of inbound immigration  Acceptance of virtual staff has opened up a new pool of talent from overseas and interstate, although supervision and training has been an issue",Increased,Increase,,,,,Yes,Yes,,Split between locations (hybrid),,Improved/expanded,No change,Improved/expanded,Improved/expanded,,,,Yes,Yes,,,Yes,,,,,Yes,,Yes,,,,Yes,,,,Yes,Yes,,,Yes,Yes,,,,,In-person events,,Better off,Better off,Worse off,Yes,,,,,,,Yes,Yes,,,,,,,,No,,Yes,6932,Accounting Services,Finance and Financial Services,Financial Services,93
2043,Erskineville,Restaurant Bar,> 10,No,3,2,10,"Thankfully minimal, while we lost those customers who worked nearby we gained a few who lived nearby but still wanted to leave the house from time to time",Remained the same,Remain the same,Yes,,,,,,,Business premises,,Improved/expanded,Improved/expanded,No change,No change,,,,Yes,,Yes,Yes,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,"Digital resources (checklist, guidelines, toolkits)",,Worse off,Worse off,Better off,Yes,,,,,,,Yes,Yes,Yes,,,,,,,No,,Yes,4511B,Restaurants,Food and Drink,Food and Drink Cafes and Restaurants,94
2065,,Membership,> 10,No,10,,3,Unable to hold face to face events and be able to deliver high quality face to face trainng,Remained the same,Increase,,,,,,Yes,,Split between locations (hybrid),,New,New,New,New,,,Yes,Yes,Yes,,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,,Yes,,In-person events,,Worse off,Better off,Worse off,Yes,,Yes,,,,,Yes,Yes,Yes,,,,,,,No,,Yes,9551,Business and Professional Association Services,Professional and Business Services,PBS - Interest Groups,95
